Número de personas en el hogar;Número de perceptores de ingresos en el hogar;Periodo;Total
Dos personas;4 y más;2002T4;..
Dos personas;4 y más;2002T3;..
Dos personas;4 y más;2002T2;..
Dos personas;4 y más;2002T1;..
Tres personas;Total;2025T4;3.912,8
Tres personas;Total;2025T3;3.892,2
Tres personas;Total;2025T2;3.888,5
Tres personas;Total;2025T1;3.909,7
Tres personas;Total;2024T4;3.898,6
Tres personas;Total;2024T3;3.880,5
Tres personas;Total;2024T2;3.875,8
Tres personas;Total;2024T1;3.859
Tres personas;Total;2023T4;3.861,9
Tres personas;Total;2023T3;3.845,5
Tres personas;Total;2023T2;3.844,9
Tres personas;Total;2023T1;3.830,2
Tres personas;Total;2022T4;3.831,4
Tres personas;Total;2022T3;3.827,7
Tres personas;Total;2022T2;3.832,7
Tres personas;Total;2022T1;3.818,2
Tres personas;Total;2021T4;3.814,4
Tres personas;Total;2021T3;3.822,6
Tres personas;Total;2021T2;3.830,6
Tres personas;Total;2021T1;3.842,4
Tres personas;Total;2020T4;3.845,2
Tres personas;Total;2020T3;3.849,7
Tres personas;Total;2020T2;3.854,3
Tres personas;Total;2020T1;3.858,2
Tres personas;Total;2019T4;3.861,8
Tres personas;Total;2019T3;3.867,4
Tres personas;Total;2019T2;3.873,6
Tres personas;Total;2019T1;3.879,4
Tres personas;Total;2018T4;3.880,2
Tres personas;Total;2018T3;3.877,4
Tres personas;Total;2018T2;3.875,5
Tres personas;Total;2018T1;3.874,6
Tres personas;Total;2017T4;3.872,3
Tres personas;Total;2017T3;3.868,2
Tres personas;Total;2017T2;3.865,1
Tres personas;Total;2017T1;3.863,8
Tres personas;Total;2016T4;3.861,9
Tres personas;Total;2016T3;3.858,4
Tres personas;Total;2016T2;3.856
Tres personas;Total;2016T1;3.855,5
Tres personas;Total;2015T4;3.855,4
Tres personas;Total;2015T3;3.855
Tres personas;Total;2015T2;3.856
Tres personas;Total;2015T1;3.855,1
Tres personas;Total;2014T4;3.852,1
Tres personas;Total;2014T3;3.847,7
Tres personas;Total;2014T2;3.847,5
Tres personas;Total;2014T1;3.848,7
Tres personas;Total;2013T4;3.857
Tres personas;Total;2013T3;3.864,7
Tres personas;Total;2013T2;3.874
Tres personas;Total;2013T1;3.881,4
Tres personas;Total;2012T4;3.888,1
Tres personas;Total;2012T3;3.891,1
Tres personas;Total;2012T2;3.894,9
Tres personas;Total;2012T1;3.898,7
Tres personas;Total;2011T4;3.905,5
Tres personas;Total;2011T3;3.887,8
Tres personas;Total;2011T2;3.870,6
Tres personas;Total;2011T1;3.854,2
Tres personas;Total;2010T4;3.838,5
Tres personas;Total;2010T3;3.820,4
Tres personas;Total;2010T2;3.803,4
Tres personas;Total;2010T1;3.786,9
Tres personas;Total;2009T4;3.770,9
Tres personas;Total;2009T3;3.752,2
Tres personas;Total;2009T2;3.734
Tres personas;Total;2009T1;3.715,9
Tres personas;Total;2008T4;3.697,2
Tres personas;Total;2008T3;3.673,8
Tres personas;Total;2008T2;3.649,9
Tres personas;Total;2008T1;3.625,4
Tres personas;Total;2007T4;3.600,5
Tres personas;Total;2007T3;3.570,6
Tres personas;Total;2007T2;3.542,2
Tres personas;Total;2007T1;3.514,5
Tres personas;Total;2006T4;3.486,5
Tres personas;Total;2006T3;3.458
Tres personas;Total;2006T2;3.431,8
Tres personas;Total;2006T1;3.407,1
Tres personas;Total;2005T4;3.384,3
Tres personas;Total;2005T3;3.359,9
Tres personas;Total;2005T2;3.337
Tres personas;Total;2005T1;3.312,3
Tres personas;Total;2004T4;3.287,6
Tres personas;Total;2004T3;3.260,3
Tres personas;Total;2004T2;3.236,3
Tres personas;Total;2004T1;3.213,8
Tres personas;Total;2003T4;3.192,6
Tres personas;Total;2003T3;3.169,1
Tres personas;Total;2003T2;3.146,5
Tres personas;Total;2003T1;3.123,4
Tres personas;Total;2002T4;3.101,5
Tres personas;Total;2002T3;3.077,6
Tres personas;Total;2002T2;3.055,1
Tres personas;Total;2002T1;3.032,8
Tres personas;0;2025T4;50,3
Tres personas;0;2025T3;40,5
Tres personas;0;2025T2;46,6
Tres personas;0;2025T1;54,9
Tres personas;0;2024T4;40,3
Tres personas;0;2024T3;46,7
Tres personas;0;2024T2;49,9
Tres personas;0;2024T1;52,4
Tres personas;0;2023T4;58
Tres personas;0;2023T3;54,2
Tres personas;0;2023T2;41,6
Tres personas;0;2023T1;54,9
Tres personas;0;2022T4;56,8
Tres personas;0;2022T3;48,7
Tres personas;0;2022T2;53,8
Tres personas;0;2022T1;46,4
Tres personas;0;2021T4;63,7
Tres personas;0;2021T3;58,4
Tres personas;0;2021T2;59,7
Tres personas;0;2021T1;73,3
Tres personas;0;2020T4;72,3
Tres personas;0;2020T3;72,2
Tres personas;0;2020T2;89,9
Tres personas;0;2020T1;65,3
Tres personas;0;2019T4;59,5
Tres personas;0;2019T3;63
Tres personas;0;2019T2;54,8
Tres personas;0;2019T1;65,7
Tres personas;0;2018T4;69
Tres personas;0;2018T3;65,1
Tres personas;0;2018T2;60,9
Tres personas;0;2018T1;68,1
Tres personas;0;2017T4;60,3
Tres personas;0;2017T3;72,6
Tres personas;0;2017T2;67,5
Tres personas;0;2017T1;81,5
Tres personas;0;2016T4;77,8
Tres personas;0;2016T3;90,5
Tres personas;0;2016T2;89,9
Tres personas;0;2016T1;100,2
Tres personas;0;2015T4;97,7
Tres personas;0;2015T3;94
Tres personas;0;2015T2;105,4
Tres personas;0;2015T1;102,2
Tres personas;0;2014T4;102,6
Tres personas;0;2014T3;103
Tres personas;0;2014T2;95,7
Tres personas;0;2014T1;112,5
Tres personas;0;2013T4;102,3
Tres personas;0;2013T3;97,9
Tres personas;0;2013T2;88,5
Tres personas;0;2013T1;100,7
Tres personas;0;2012T4;107,6
Tres personas;0;2012T3;103,5
Tres personas;0;2012T2;92,6
Tres personas;0;2012T1;92,4
Tres personas;0;2011T4;76,7
Tres personas;0;2011T3;76,2
Tres personas;0;2011T2;70,3
Tres personas;0;2011T1;61,1
Tres personas;0;2010T4;57,6
Tres personas;0;2010T3;53,5
Tres personas;0;2010T2;51,3
Tres personas;0;2010T1;57,5
Tres personas;0;2009T4;60,5
Tres personas;0;2009T3;64,4
Tres personas;0;2009T2;60,8
Tres personas;0;2009T1;60,7
Tres personas;0;2008T4;48,2
Tres personas;0;2008T3;45,9
Tres personas;0;2008T2;37,2
Tres personas;0;2008T1;36,4
Tres personas;0;2007T4;40,4
Tres personas;0;2007T3;38,3
Tres personas;0;2007T2;36,9
Tres personas;0;2007T1;42,2
Tres personas;0;2006T4;31,6
Tres personas;0;2006T3;37,7
Tres personas;0;2006T2;37,3
Tres personas;0;2006T1;34,9
Tres personas;0;2005T4;34,5
Tres personas;0;2005T3;29,8
Tres personas;0;2005T2;38,4
Tres personas;0;2005T1;36
Tres personas;0;2004T4;41,1
Tres personas;0;2004T3;46,2
Tres personas;0;2004T2;44
Tres personas;0;2004T1;47,3
Tres personas;0;2003T4;45,1
Tres personas;0;2003T3;54,7
Tres personas;0;2003T2;49
Tres personas;0;2003T1;46,4
Tres personas;0;2002T4;43,6
Tres personas;0;2002T3;39,2
Tres personas;0;2002T2;48,1
Tres personas;0;2002T1;44,7
Tres personas;1;2025T4;652,2
Tres personas;1;2025T3;650,7
Tres personas;1;2025T2;632,8
Tres personas;1;2025T1;683,5
Tres personas;1;2024T4;683,2
Tres personas;1;2024T3;681,5
Tres personas;1;2024T2;664,2
Tres personas;1;2024T1;663,2
Tres personas;1;2023T4;681,3
Tres personas;1;2023T3;683,5
Tres personas;1;2023T2;685,1
Tres personas;1;2023T1;721,2
Tres personas;1;2022T4;722,7
Tres personas;1;2022T3;766,4
Tres personas;1;2022T2;739,5
Tres personas;1;2022T1;780,2
Tres personas;1;2021T4;740,8
Tres personas;1;2021T3;760
Tres personas;1;2021T2;804
Tres personas;1;2021T1;821,9
Tres personas;1;2020T4;863,4
Tres personas;1;2020T3;853,4
Tres personas;1;2020T2;867,2
Tres personas;1;2020T1;819,3
Tres personas;1;2019T4;792,8
Tres personas;1;2019T3;798,4
Tres personas;1;2019T2;809,5
Tres personas;1;2019T1;848,8
Tres personas;1;2018T4;882,5
Tres personas;1;2018T3;902,4
Tres personas;1;2018T2;888
Tres personas;1;2018T1;927,6
Tres personas;1;2017T4;922,2
Tres personas;1;2017T3;915,7
Tres personas;1;2017T2;948,9
Tres personas;1;2017T1;961,1
Tres personas;1;2016T4;955,5
Tres personas;1;2016T3;955,2
Tres personas;1;2016T2;990,3
Tres personas;1;2016T1;1.019,3
Tres personas;1;2015T4;1.001,5
Tres personas;1;2015T3;1.008,3
Tres personas;1;2015T2;1.017
Tres personas;1;2015T1;1.050,5
Tres personas;1;2014T4;1.047,1
Tres personas;1;2014T3;1.060
Tres personas;1;2014T2;1.056
Tres personas;1;2014T1;1.059,8
Tres personas;1;2013T4;1.061,6
Tres personas;1;2013T3;1.073,4
Tres personas;1;2013T2;1.059,1
Tres personas;1;2013T1;1.054
Tres personas;1;2012T4;1.031
Tres personas;1;2012T3;1.017,3
Tres personas;1;2012T2;983,9
Tres personas;1;2012T1;990,6
Tres personas;1;2011T4;942
Tres personas;1;2011T3;937,2
Tres personas;1;2011T2;891,9
Tres personas;1;2011T1;893,5
Tres personas;1;2010T4;875,2
Tres personas;1;2010T3;864,1
Tres personas;1;2010T2;839,3
Tres personas;1;2010T1;832
Tres personas;1;2009T4;813,6
Tres personas;1;2009T3;797,3
Tres personas;1;2009T2;795,2
Tres personas;1;2009T1;789,9
Tres personas;1;2008T4;774,8
Tres personas;1;2008T3;751,3
Tres personas;1;2008T2;755,2
Tres personas;1;2008T1;739,8
Tres personas;1;2007T4;718,9
Tres personas;1;2007T3;726,1
Tres personas;1;2007T2;724,2
Tres personas;1;2007T1;722,2
Tres personas;1;2006T4;705,5
Tres personas;1;2006T3;708,4
Tres personas;1;2006T2;726,6
Tres personas;1;2006T1;747,6
Tres personas;1;2005T4;753,9
Tres personas;1;2005T3;776,7
Tres personas;1;2005T2;794,2
Tres personas;1;2005T1;844,8
Tres personas;1;2004T4;858,5
Tres personas;1;2004T3;888,5
Tres personas;1;2004T2;895,9
Tres personas;1;2004T1;903
Tres personas;1;2003T4;890,6
Tres personas;1;2003T3;893,5
Tres personas;1;2003T2;897,5
Tres personas;1;2003T1;908,5
Tres personas;1;2002T4;925,8
Tres personas;1;2002T3;919,3
Tres personas;1;2002T2;904,7
Tres personas;1;2002T1;906,6
Tres personas;2;2025T4;2.072,6
Tres personas;2;2025T3;2.074,4
Tres personas;2;2025T2;2.104,1
Tres personas;2;2025T1;2.110,2
Tres personas;2;2024T4;2.107,6
Tres personas;2;2024T3;2.098,2
Tres personas;2;2024T2;2.115,9
Tres personas;2;2024T1;2.120,6
Tres personas;2;2023T4;2.096,9
Tres personas;2;2023T3;2.058,9
Tres personas;2;2023T2;2.092,4
Tres personas;2;2023T1;2.078,4
Tres personas;2;2022T4;2.069,3
Tres personas;2;2022T3;2.018,2
Tres personas;2;2022T2;2.060,1
Tres personas;2;2022T1;2.030,1
Tres personas;2;2021T4;2.058
Tres personas;2;2021T3;2.054,1
Tres personas;2;2021T2;2.075,2
Tres personas;2;2021T1;2.084,6
Tres personas;2;2020T4;2.093,8
Tres personas;2;2020T3;2.145,3
Tres personas;2;2020T2;2.143,4
Tres personas;2;2020T1;2.162,1
Tres personas;2;2019T4;2.184,6
Tres personas;2;2019T3;2.178,5
Tres personas;2;2019T2;2.199,3
Tres personas;2;2019T1;2.167,9
Tres personas;2;2018T4;2.142,5
Tres personas;2;2018T3;2.120,5
Tres personas;2;2018T2;2.178
Tres personas;2;2018T1;2.153,1
Tres personas;2;2017T4;2.162,5
Tres personas;2;2017T3;2.161,8
Tres personas;2;2017T2;2.154,2
Tres personas;2;2017T1;2.140,8
Tres personas;2;2016T4;2.146,1
Tres personas;2;2016T3;2.144,4
Tres personas;2;2016T2;2.119,8
Tres personas;2;2016T1;2.109,7
Tres personas;2;2015T4;2.108,4
Tres personas;2;2015T3;2.096
Tres personas;2;2015T2;2.116,1
Tres personas;2;2015T1;2.093,1
Tres personas;2;2014T4;2.113
Tres personas;2;2014T3;2.072,6
Tres personas;2;2014T2;2.095,9
Tres personas;2;2014T1;2.092,1
Tres personas;2;2013T4;2.074,5
Tres personas;2;2013T3;2.072,9
Tres personas;2;2013T2;2.115,4
Tres personas;2;2013T1;2.106,2
Tres personas;2;2012T4;2.110,6
Tres personas;2;2012T3;2.114,2
Tres personas;2;2012T2;2.179,5
Tres personas;2;2012T1;2.167,4
Tres personas;2;2011T4;2.203,1
Tres personas;2;2011T3;2.170,1
Tres personas;2;2011T2;2.215,2
Tres personas;2;2011T1;2.198,2
Tres personas;2;2010T4;2.190,4
Tres personas;2;2010T3;2.186,2
Tres personas;2;2010T2;2.192,3
Tres personas;2;2010T1;2.173,8
Tres personas;2;2009T4;2.161,7
Tres personas;2;2009T3;2.156,2
Tres personas;2;2009T2;2.168,3
Tres personas;2;2009T1;2.144,9
Tres personas;2;2008T4;2.107,3
Tres personas;2;2008T3;2.073,5
Tres personas;2;2008T2;2.064,9
Tres personas;2;2008T1;2.076,6
Tres personas;2;2007T4;2.056,5
Tres personas;2;2007T3;2.009,2
Tres personas;2;2007T2;2.002,6
Tres personas;2;2007T1;1.986,3
Tres personas;2;2006T4;1.953,8
Tres personas;2;2006T3;1.940,6
Tres personas;2;2006T2;1.913
Tres personas;2;2006T1;1.913,3
Tres personas;2;2005T4;1.892,4
Tres personas;2;2005T3;1.858,6
Tres personas;2;2005T2;1.847,9
Tres personas;2;2005T1;1.786,8
Tres personas;2;2004T4;1.798
Tres personas;2;2004T3;1.720,2
Tres personas;2;2004T2;1.703,6
Tres personas;2;2004T1;1.681,9
Tres personas;2;2003T4;1.708,1
Tres personas;2;2003T3;1.679,2
Tres personas;2;2003T2;1.651,7
Tres personas;2;2003T1;1.650,5
Tres personas;2;2002T4;1.612
Tres personas;2;2002T3;1.606,6
Tres personas;2;2002T2;1.589,1
Tres personas;2;2002T1;1.571,6
Tres personas;3;2025T4;1.137,7
Tres personas;3;2025T3;1.126,6
Tres personas;3;2025T2;1.105
Tres personas;3;2025T1;1.061,1
Tres personas;3;2024T4;1.067,5
Tres personas;3;2024T3;1.054,1
Tres personas;3;2024T2;1.045,8
Tres personas;3;2024T1;1.022,7
Tres personas;3;2023T4;1.025,7
Tres personas;3;2023T3;1.048,9
Tres personas;3;2023T2;1.025,8
Tres personas;3;2023T1;975,7
Tres personas;3;2022T4;982,6
Tres personas;3;2022T3;994,5
Tres personas;3;2022T2;979,3
Tres personas;3;2022T1;961,5
Tres personas;3;2021T4;952
Tres personas;3;2021T3;950,2
Tres personas;3;2021T2;891,8
Tres personas;3;2021T1;862,7
Tres personas;3;2020T4;815,7
Tres personas;3;2020T3;778,9
Tres personas;3;2020T2;753,8
Tres personas;3;2020T1;811,4
Tres personas;3;2019T4;824,9
Tres personas;3;2019T3;827,5
Tres personas;3;2019T2;809,9
Tres personas;3;2019T1;797
Tres personas;3;2018T4;786,3
Tres personas;3;2018T3;789,4
Tres personas;3;2018T2;748,7
Tres personas;3;2018T1;725,9
Tres personas;3;2017T4;727,3
Tres personas;3;2017T3;718,1
Tres personas;3;2017T2;694,5
Tres personas;3;2017T1;680,5
Tres personas;3;2016T4;682,6
Tres personas;3;2016T3;668,3
Tres personas;3;2016T2;656
Tres personas;3;2016T1;626,4
Tres personas;3;2015T4;647,7
Tres personas;3;2015T3;656,6
Tres personas;3;2015T2;617,6
Tres personas;3;2015T1;609,4
Tres personas;3;2014T4;589,4
Tres personas;3;2014T3;612,2
Tres personas;3;2014T2;599,9
Tres personas;3;2014T1;584,3
Tres personas;3;2013T4;618,6
Tres personas;3;2013T3;620,5
Tres personas;3;2013T2;611
Tres personas;3;2013T1;620,5
Tres personas;3;2012T4;638,8
Tres personas;3;2012T3;656
Tres personas;3;2012T2;638,9
Tres personas;3;2012T1;648,3
Tres personas;3;2011T4;683,7
Tres personas;3;2011T3;704,3
Tres personas;3;2011T2;693,1
Tres personas;3;2011T1;701,3
Tres personas;3;2010T4;715,4
Tres personas;3;2010T3;716,5
Tres personas;3;2010T2;720,5
Tres personas;3;2010T1;723,6
Tres personas;3;2009T4;735,1
Tres personas;3;2009T3;734,4
Tres personas;3;2009T2;709,8
Tres personas;3;2009T1;720,4
Tres personas;3;2008T4;766,9
Tres personas;3;2008T3;803,1
Tres personas;3;2008T2;792,7
Tres personas;3;2008T1;772,6
Tres personas;3;2007T4;784,7
Tres personas;3;2007T3;797
Tres personas;3;2007T2;778,5
Tres personas;3;2007T1;763,8
Tres personas;3;2006T4;795,5
Tres personas;3;2006T3;771,2
Tres personas;3;2006T2;754,9
Tres personas;3;2006T1;711,3
Tres personas;3;2005T4;703,5
Tres personas;3;2005T3;694,7
Tres personas;3;2005T2;656,5
Tres personas;3;2005T1;644,6
Tres personas;3;2004T4;590
Tres personas;3;2004T3;605,4
Tres personas;3;2004T2;592,8
Tres personas;3;2004T1;581,6
Tres personas;3;2003T4;548,8
Tres personas;3;2003T3;541,7
Tres personas;3;2003T2;548,3
Tres personas;3;2003T1;518
Tres personas;3;2002T4;520,1
Tres personas;3;2002T3;512,4
Tres personas;3;2002T2;513,1
Tres personas;3;2002T1;509,9
Tres personas;4 y más;2025T4;..
Tres personas;4 y más;2025T3;..
Tres personas;4 y más;2025T2;..
Tres personas;4 y más;2025T1;..
Tres personas;4 y más;2024T4;..
Tres personas;4 y más;2024T3;..
Tres personas;4 y más;2024T2;..
Tres personas;4 y más;2024T1;..
Tres personas;4 y más;2023T4;..
Tres personas;4 y más;2023T3;..
Tres personas;4 y más;2023T2;..
Tres personas;4 y más;2023T1;..
Tres personas;4 y más;2022T4;..
Tres personas;4 y más;2022T3;..
Tres personas;4 y más;2022T2;..
Tres personas;4 y más;2022T1;..
Tres personas;4 y más;2021T4;..
Tres personas;4 y más;2021T3;..
Tres personas;4 y más;2021T2;..
Tres personas;4 y más;2021T1;..
Tres personas;4 y más;2020T4;..
Tres personas;4 y más;2020T3;..
Tres personas;4 y más;2020T2;..
Tres personas;4 y más;2020T1;..
Tres personas;4 y más;2019T4;..
Tres personas;4 y más;2019T3;..
Tres personas;4 y más;2019T2;..
Tres personas;4 y más;2019T1;..
Tres personas;4 y más;2018T4;..
Tres personas;4 y más;2018T3;..
Tres personas;4 y más;2018T2;..
Tres personas;4 y más;2018T1;..
Tres personas;4 y más;2017T4;..
Tres personas;4 y más;2017T3;..
Tres personas;4 y más;2017T2;..
Tres personas;4 y más;2017T1;..
Tres personas;4 y más;2016T4;..
Tres personas;4 y más;2016T3;..
Tres personas;4 y más;2016T2;..
Tres personas;4 y más;2016T1;..
Tres personas;4 y más;2015T4;..
Tres personas;4 y más;2015T3;..
Tres personas;4 y más;2015T2;..
Tres personas;4 y más;2015T1;..
Tres personas;4 y más;2014T4;..
Tres personas;4 y más;2014T3;..
Tres personas;4 y más;2014T2;..
Tres personas;4 y más;2014T1;..
Tres personas;4 y más;2013T4;..
Tres personas;4 y más;2013T3;..
Tres personas;4 y más;2013T2;..
Tres personas;4 y más;2013T1;..
Tres personas;4 y más;2012T4;..
Tres personas;4 y más;2012T3;..
Tres personas;4 y más;2012T2;..
Tres personas;4 y más;2012T1;..
Tres personas;4 y más;2011T4;..
Tres personas;4 y más;2011T3;..
Tres personas;4 y más;2011T2;..
Tres personas;4 y más;2011T1;..
Tres personas;4 y más;2010T4;..
Tres personas;4 y más;2010T3;..
Tres personas;4 y más;2010T2;..
Tres personas;4 y más;2010T1;..
Tres personas;4 y más;2009T4;..
Tres personas;4 y más;2009T3;..
Tres personas;4 y más;2009T2;..
Tres personas;4 y más;2009T1;..
Tres personas;4 y más;2008T4;..
Tres personas;4 y más;2008T3;..
Tres personas;4 y más;2008T2;..
Tres personas;4 y más;2008T1;..
Tres personas;4 y más;2007T4;..
Tres personas;4 y más;2007T3;..
Tres personas;4 y más;2007T2;..
Tres personas;4 y más;2007T1;..
Tres personas;4 y más;2006T4;..
Tres personas;4 y más;2006T3;..
Tres personas;4 y más;2006T2;..
Tres personas;4 y más;2006T1;..
Tres personas;4 y más;2005T4;..
Tres personas;4 y más;2005T3;..
Tres personas;4 y más;2005T2;..
Tres personas;4 y más;2005T1;..
Tres personas;4 y más;2004T4;..
Tres personas;4 y más;2004T3;..
Tres personas;4 y más;2004T2;..
Tres personas;4 y más;2004T1;..
Tres personas;4 y más;2003T4;..
Tres personas;4 y más;2003T3;..
Tres personas;4 y más;2003T2;..
Tres personas;4 y más;2003T1;..
Tres personas;4 y más;2002T4;..
Tres personas;4 y más;2002T3;..
Tres personas;4 y más;2002T2;..
Tres personas;4 y más;2002T1;..
Cuatro personas;Total;2025T4;2.901,4
Cuatro personas;Total;2025T3;2.886,5
Cuatro personas;Total;2025T2;2.869,4
Cuatro personas;Total;2025T1;2.880,1
Cuatro personas;Total;2024T4;2.934
Cuatro personas;Total;2024T3;2.883,4
Cuatro personas;Total;2024T2;2.865,5
Cuatro personas;Total;2024T1;2.896,2
Cuatro personas;Total;2023T4;2.898,6
Cuatro personas;Total;2023T3;2.900
Cuatro personas;Total;2023T2;2.907,9
Cuatro personas;Total;2023T1;2.919,3
Cuatro personas;Total;2022T4;2.954
Cuatro personas;Total;2022T3;2.959,8
Cuatro personas;Total;2022T2;2.958,9
Cuatro personas;Total;2022T1;3.005,8
Cuatro personas;Total;2021T4;3.023,1
Cuatro personas;Total;2021T3;3.013
Cuatro personas;Total;2021T2;3.049,5
Cuatro personas;Total;2021T1;3.015,1
Cuatro personas;Total;2020T4;3.220,8
Cuatro personas;Total;2020T3;3.223,7
Cuatro personas;Total;2020T2;3.228
Cuatro personas;Total;2020T1;3.233
Cuatro personas;Total;2019T4;3.238
Cuatro personas;Total;2019T3;3.245,7
Cuatro personas;Total;2019T2;3.252,9
Cuatro personas;Total;2019T1;3.259,5
Cuatro personas;Total;2018T4;3.261,3
Cuatro personas;Total;2018T3;3.259,4
Cuatro personas;Total;2018T2;3.257,9
Cuatro personas;Total;2018T1;3.257,1
Cuatro personas;Total;2017T4;3.254,7
Cuatro personas;Total;2017T3;3.249
Cuatro personas;Total;2017T2;3.243,6
Cuatro personas;Total;2017T1;3.239,8
Cuatro personas;Total;2016T4;3.237,7
Cuatro personas;Total;2016T3;3.236,9
Cuatro personas;Total;2016T2;3.237,6
Cuatro personas;Total;2016T1;3.239,1
Cuatro personas;Total;2015T4;3.240,1
Cuatro personas;Total;2015T3;3.240,3
Cuatro personas;Total;2015T2;3.242,6
Cuatro personas;Total;2015T1;3.241,4
Cuatro personas;Total;2014T4;3.238,3
Cuatro personas;Total;2014T3;3.233,4
Cuatro personas;Total;2014T2;3.235,7
Cuatro personas;Total;2014T1;3.245,5
Cuatro personas;Total;2013T4;3.258,5
Cuatro personas;Total;2013T3;3.271,5
Cuatro personas;Total;2013T2;3.284,7
Cuatro personas;Total;2013T1;3.297,3
Cuatro personas;Total;2012T4;3.309,1
Cuatro personas;Total;2012T3;3.317,8
Cuatro personas;Total;2012T2;3.327,1
Cuatro personas;Total;2012T1;3.336,2
Cuatro personas;Total;2011T4;3.347,4
Cuatro personas;Total;2011T3;3.344,3
Cuatro personas;Total;2011T2;3.341,7
Cuatro personas;Total;2011T1;3.339,7
Cuatro personas;Total;2010T4;3.338,1
Cuatro personas;Total;2010T3;3.334,6
Cuatro personas;Total;2010T2;3.332,5
Cuatro personas;Total;2010T1;3.330,7
Cuatro personas;Total;2009T4;3.328,9
Cuatro personas;Total;2009T3;3.325
Cuatro personas;Total;2009T2;3.321,5
Cuatro personas;Total;2009T1;3.318
Cuatro personas;Total;2008T4;3.313,5
Cuatro personas;Total;2008T3;3.305,1
Cuatro personas;Total;2008T2;3.296,4
Cuatro personas;Total;2008T1;3.287
Cuatro personas;Total;2007T4;3.277
Cuatro personas;Total;2007T3;3.262,5
Cuatro personas;Total;2007T2;3.249,6
Cuatro personas;Total;2007T1;3.237,3
Cuatro personas;Total;2006T4;3.224,5
Cuatro personas;Total;2006T3;3.211,2
Cuatro personas;Total;2006T2;3.200
Cuatro personas;Total;2006T1;3.190,1
Cuatro personas;Total;2005T4;3.182,1
Cuatro personas;Total;2005T3;3.173,6
Cuatro personas;Total;2005T2;3.166,5
Cuatro personas;Total;2005T1;3.157,8
Cuatro personas;Total;2004T4;3.147,8
Cuatro personas;Total;2004T3;3.135,6
Cuatro personas;Total;2004T2;3.126,3
Cuatro personas;Total;2004T1;3.118,1
Cuatro personas;Total;2003T4;3.111,1
Cuatro personas;Total;2003T3;3.102,5
Cuatro personas;Total;2003T2;3.094,5
Cuatro personas;Total;2003T1;3.086,1
Cuatro personas;Total;2002T4;3.079,3
Cuatro personas;Total;2002T3;3.071,2
Cuatro personas;Total;2002T2;3.064,5
Cuatro personas;Total;2002T1;3.058
Cuatro personas;0;2025T4;21,1
Cuatro personas;0;2025T3;26,8
Cuatro personas;0;2025T2;22,4
Cuatro personas;0;2025T1;26,8
Cuatro personas;0;2024T4;35,5
Cuatro personas;0;2024T3;27,2
Cuatro personas;0;2024T2;29,6
Cuatro personas;0;2024T1;28,6
Cuatro personas;0;2023T4;25,5
Cuatro personas;0;2023T3;27,5
Cuatro personas;0;2023T2;28,2
Cuatro personas;0;2023T1;28,7
Cuatro personas;0;2022T4;35,9
Cuatro personas;0;2022T3;29,1
Cuatro personas;0;2022T2;26,2
Cuatro personas;0;2022T1;28,6
Cuatro personas;0;2021T4;26,2
Cuatro personas;0;2021T3;31,8
Cuatro personas;0;2021T2;21,7
Cuatro personas;0;2021T1;33,2
Cuatro personas;0;2020T4;41,6
Cuatro personas;0;2020T3;36,2
Cuatro personas;0;2020T2;52
Cuatro personas;0;2020T1;44,5
Cuatro personas;0;2019T4;42,4
Cuatro personas;0;2019T3;43
Cuatro personas;0;2019T2;40
Cuatro personas;0;2019T1;46,5
Cuatro personas;0;2018T4;42,8
Cuatro personas;0;2018T3;50,6
Cuatro personas;0;2018T2;53,6
Cuatro personas;0;2018T1;50,7
Cuatro personas;0;2017T4;48,3
Cuatro personas;0;2017T3;48,8
Cuatro personas;0;2017T2;55,2
Cuatro personas;0;2017T1;52,1
Cuatro personas;0;2016T4;55,1
Cuatro personas;0;2016T3;53,9
Cuatro personas;0;2016T2;60,5
Cuatro personas;0;2016T1;65,2
Cuatro personas;0;2015T4;62,2
Cuatro personas;0;2015T3;63,9
Cuatro personas;0;2015T2;70,3
Cuatro personas;0;2015T1;77,8
Cuatro personas;0;2014T4;64,9
Cuatro personas;0;2014T3;66,6
Cuatro personas;0;2014T2;61,9
Cuatro personas;0;2014T1;64,7
Cuatro personas;0;2013T4;69
Cuatro personas;0;2013T3;61
Cuatro personas;0;2013T2;59,2
Cuatro personas;0;2013T1;70
Cuatro personas;0;2012T4;62
Cuatro personas;0;2012T3;60,3
Cuatro personas;0;2012T2;59,2
Cuatro personas;0;2012T1;50,2
Cuatro personas;0;2011T4;52,2
Cuatro personas;0;2011T3;50
Cuatro personas;0;2011T2;51,6
Cuatro personas;0;2011T1;42,7
Cuatro personas;0;2010T4;44,8
Cuatro personas;0;2010T3;42,1
Cuatro personas;0;2010T2;40,1
Cuatro personas;0;2010T1;39,4
Cuatro personas;0;2009T4;34
Cuatro personas;0;2009T3;39,7
Cuatro personas;0;2009T2;40,3
Cuatro personas;0;2009T1;39,5
Cuatro personas;0;2008T4;37,7
Cuatro personas;0;2008T3;34,2
Cuatro personas;0;2008T2;26,9
Cuatro personas;0;2008T1;22
Cuatro personas;0;2007T4;23,4
Cuatro personas;0;2007T3;23,8
Cuatro personas;0;2007T2;19,2
Cuatro personas;0;2007T1;25,8
Cuatro personas;0;2006T4;21,9
Cuatro personas;0;2006T3;19,1
