Perceptores de ingresos que conviven con la persona de referencia;Según perciba o no ingresos la persona de referencia;Periodo;Total
Tres perceptores;No perceptora de ingresos;2024T2;24,4
Tres perceptores;No perceptora de ingresos;2024T1;16,2
Tres perceptores;No perceptora de ingresos;2023T4;15,9
Tres perceptores;No perceptora de ingresos;2023T3;25,1
Tres perceptores;No perceptora de ingresos;2023T2;21,3
Tres perceptores;No perceptora de ingresos;2023T1;18,4
Tres perceptores;No perceptora de ingresos;2022T4;23,8
Tres perceptores;No perceptora de ingresos;2022T3;17,7
Tres perceptores;No perceptora de ingresos;2022T2;21,5
Tres perceptores;No perceptora de ingresos;2022T1;20,9
Tres perceptores;No perceptora de ingresos;2021T4;19,8
Tres perceptores;No perceptora de ingresos;2021T3;24,6
Tres perceptores;No perceptora de ingresos;2021T2;14,7
Tres perceptores;No perceptora de ingresos;2021T1;16,4
Tres perceptores;No perceptora de ingresos;2020T4;15,2
Tres perceptores;No perceptora de ingresos;2020T3;8,6
Tres perceptores;No perceptora de ingresos;2020T2;10,4
Tres perceptores;No perceptora de ingresos;2020T1;11,3
Tres perceptores;No perceptora de ingresos;2019T4;14,2
Tres perceptores;No perceptora de ingresos;2019T3;18,6
Tres perceptores;No perceptora de ingresos;2019T2;16,3
Tres perceptores;No perceptora de ingresos;2019T1;21,3
Tres perceptores;No perceptora de ingresos;2018T4;19,2
Tres perceptores;No perceptora de ingresos;2018T3;18
Tres perceptores;No perceptora de ingresos;2018T2;17,2
Tres perceptores;No perceptora de ingresos;2018T1;14,3
Tres perceptores;No perceptora de ingresos;2017T4;17,9
Tres perceptores;No perceptora de ingresos;2017T3;16,6
Tres perceptores;No perceptora de ingresos;2017T2;13,8
Tres perceptores;No perceptora de ingresos;2017T1;11,5
Tres perceptores;No perceptora de ingresos;2016T4;16
Tres perceptores;No perceptora de ingresos;2016T3;17,7
Tres perceptores;No perceptora de ingresos;2016T2;20,6
Tres perceptores;No perceptora de ingresos;2016T1;16,9
Tres perceptores;No perceptora de ingresos;2015T4;18,2
Tres perceptores;No perceptora de ingresos;2015T3;14,7
Tres perceptores;No perceptora de ingresos;2015T2;21
Tres perceptores;No perceptora de ingresos;2015T1;14,1
Tres perceptores;No perceptora de ingresos;2014T4;18,9
Tres perceptores;No perceptora de ingresos;2014T3;17
Tres perceptores;No perceptora de ingresos;2014T2;17,6
Tres perceptores;No perceptora de ingresos;2014T1;15,8
Tres perceptores;No perceptora de ingresos;2013T4;17,5
Tres perceptores;No perceptora de ingresos;2013T3;16,9
Tres perceptores;No perceptora de ingresos;2013T2;19,8
Tres perceptores;No perceptora de ingresos;2013T1;20,6
Tres perceptores;No perceptora de ingresos;2012T4;19,6
Tres perceptores;No perceptora de ingresos;2012T3;26
Tres perceptores;No perceptora de ingresos;2012T2;20,2
Tres perceptores;No perceptora de ingresos;2012T1;17,9
Tres perceptores;No perceptora de ingresos;2011T4;22,9
Tres perceptores;No perceptora de ingresos;2011T3;32,1
Tres perceptores;No perceptora de ingresos;2011T2;18,6
Tres perceptores;No perceptora de ingresos;2011T1;22,2
Tres perceptores;No perceptora de ingresos;2010T4;20,5
Tres perceptores;No perceptora de ingresos;2010T3;19,1
Tres perceptores;No perceptora de ingresos;2010T2;21,1
Tres perceptores;No perceptora de ingresos;2010T1;22,4
Tres perceptores;No perceptora de ingresos;2009T4;20,9
Tres perceptores;No perceptora de ingresos;2009T3;19
Tres perceptores;No perceptora de ingresos;2009T2;17,7
Tres perceptores;No perceptora de ingresos;2009T1;18,6
Tres perceptores;No perceptora de ingresos;2008T4;19,2
Tres perceptores;No perceptora de ingresos;2008T3;14,3
Tres perceptores;No perceptora de ingresos;2008T2;18,6
Tres perceptores;No perceptora de ingresos;2008T1;20,3
Tres perceptores;No perceptora de ingresos;2007T4;18,6
Tres perceptores;No perceptora de ingresos;2007T3;18,4
Tres perceptores;No perceptora de ingresos;2007T2;17,2
Tres perceptores;No perceptora de ingresos;2007T1;18,6
Tres perceptores;No perceptora de ingresos;2006T4;23,2
Tres perceptores;No perceptora de ingresos;2006T3;14,8
Tres perceptores;No perceptora de ingresos;2006T2;13,6
Tres perceptores;No perceptora de ingresos;2006T1;13,8
Tres perceptores;No perceptora de ingresos;2005T4;17,3
Tres perceptores;No perceptora de ingresos;2005T3;9,8
Tres perceptores;No perceptora de ingresos;2005T2;9,3
Tres perceptores;No perceptora de ingresos;2005T1;13,8
Tres perceptores;No perceptora de ingresos;2004T4;10,1
Tres perceptores;No perceptora de ingresos;2004T3;12,5
Tres perceptores;No perceptora de ingresos;2004T2;11,8
Tres perceptores;No perceptora de ingresos;2004T1;8,3
Tres perceptores;No perceptora de ingresos;2003T4;9
Tres perceptores;No perceptora de ingresos;2003T3;9
Tres perceptores;No perceptora de ingresos;2003T2;7,6
Tres perceptores;No perceptora de ingresos;2003T1;7
Tres perceptores;No perceptora de ingresos;2002T4;6,6
Tres perceptores;No perceptora de ingresos;2002T3;9,6
Tres perceptores;No perceptora de ingresos;2002T2;9,2
Tres perceptores;No perceptora de ingresos;2002T1;8,1
Cuatro y más perceptores;Total;2025T4;11,2
Cuatro y más perceptores;Total;2025T3;8,4
Cuatro y más perceptores;Total;2025T2;8,5
Cuatro y más perceptores;Total;2025T1;6,7
Cuatro y más perceptores;Total;2024T4;0,8
Cuatro y más perceptores;Total;2024T3;2,6
Cuatro y más perceptores;Total;2024T2;6,3
Cuatro y más perceptores;Total;2024T1;3,6
Cuatro y más perceptores;Total;2023T4;12,5
Cuatro y más perceptores;Total;2023T3;5,2
Cuatro y más perceptores;Total;2023T2;4,3
Cuatro y más perceptores;Total;2023T1;3,8
Cuatro y más perceptores;Total;2022T4;3
Cuatro y más perceptores;Total;2022T3;7,2
Cuatro y más perceptores;Total;2022T2;7,5
Cuatro y más perceptores;Total;2022T1;4
Cuatro y más perceptores;Total;2021T4;2,4
Cuatro y más perceptores;Total;2021T3;9,9
Cuatro y más perceptores;Total;2021T2;3,6
Cuatro y más perceptores;Total;2021T1;3,5
Cuatro y más perceptores;Total;2020T4;4,3
Cuatro y más perceptores;Total;2020T3;3,1
Cuatro y más perceptores;Total;2020T2;5,3
Cuatro y más perceptores;Total;2020T1;2,9
Cuatro y más perceptores;Total;2019T4;3,2
Cuatro y más perceptores;Total;2019T3;5,4
Cuatro y más perceptores;Total;2019T2;3,5
Cuatro y más perceptores;Total;2019T1;3,7
Cuatro y más perceptores;Total;2018T4;6,7
Cuatro y más perceptores;Total;2018T3;6,7
Cuatro y más perceptores;Total;2018T2;4,4
Cuatro y más perceptores;Total;2018T1;3,4
Cuatro y más perceptores;Total;2017T4;4,4
Cuatro y más perceptores;Total;2017T3;2,2
Cuatro y más perceptores;Total;2017T2;3,4
Cuatro y más perceptores;Total;2017T1;4,3
Cuatro y más perceptores;Total;2016T4;5,3
Cuatro y más perceptores;Total;2016T3;7,5
Cuatro y más perceptores;Total;2016T2;4,8
Cuatro y más perceptores;Total;2016T1;4,6
Cuatro y más perceptores;Total;2015T4;6,5
Cuatro y más perceptores;Total;2015T3;3,9
Cuatro y más perceptores;Total;2015T2;4,2
Cuatro y más perceptores;Total;2015T1;6,1
Cuatro y más perceptores;Total;2014T4;3,4
Cuatro y más perceptores;Total;2014T3;3,3
Cuatro y más perceptores;Total;2014T2;3,5
Cuatro y más perceptores;Total;2014T1;3,1
Cuatro y más perceptores;Total;2013T4;3,8
Cuatro y más perceptores;Total;2013T3;5,1
Cuatro y más perceptores;Total;2013T2;9,5
Cuatro y más perceptores;Total;2013T1;4,4
Cuatro y más perceptores;Total;2012T4;6,4
Cuatro y más perceptores;Total;2012T3;7
Cuatro y más perceptores;Total;2012T2;7,8
Cuatro y más perceptores;Total;2012T1;10,6
Cuatro y más perceptores;Total;2011T4;7,2
Cuatro y más perceptores;Total;2011T3;10,2
Cuatro y más perceptores;Total;2011T2;8
Cuatro y más perceptores;Total;2011T1;6,5
Cuatro y más perceptores;Total;2010T4;11,4
Cuatro y más perceptores;Total;2010T3;11,4
Cuatro y más perceptores;Total;2010T2;8,8
Cuatro y más perceptores;Total;2010T1;10,7
Cuatro y más perceptores;Total;2009T4;4,7
Cuatro y más perceptores;Total;2009T3;8
Cuatro y más perceptores;Total;2009T2;8,8
Cuatro y más perceptores;Total;2009T1;6,8
Cuatro y más perceptores;Total;2008T4;8,4
Cuatro y más perceptores;Total;2008T3;6,1
Cuatro y más perceptores;Total;2008T2;10
Cuatro y más perceptores;Total;2008T1;8,6
Cuatro y más perceptores;Total;2007T4;7
Cuatro y más perceptores;Total;2007T3;3,6
Cuatro y más perceptores;Total;2007T2;4,7
Cuatro y más perceptores;Total;2007T1;9,1
Cuatro y más perceptores;Total;2006T4;4,3
Cuatro y más perceptores;Total;2006T3;4,9
Cuatro y más perceptores;Total;2006T2;7,8
Cuatro y más perceptores;Total;2006T1;2,8
Cuatro y más perceptores;Total;2005T4;4,8
Cuatro y más perceptores;Total;2005T3;4,4
Cuatro y más perceptores;Total;2005T2;5
Cuatro y más perceptores;Total;2005T1;7,8
Cuatro y más perceptores;Total;2004T4;7,6
Cuatro y más perceptores;Total;2004T3;3,8
Cuatro y más perceptores;Total;2004T2;5,1
Cuatro y más perceptores;Total;2004T1;5,5
Cuatro y más perceptores;Total;2003T4;4,2
Cuatro y más perceptores;Total;2003T3;3,9
Cuatro y más perceptores;Total;2003T2;5
Cuatro y más perceptores;Total;2003T1;4,1
Cuatro y más perceptores;Total;2002T4;7,3
Cuatro y más perceptores;Total;2002T3;5,5
Cuatro y más perceptores;Total;2002T2;6,5
Cuatro y más perceptores;Total;2002T1;4,9
Cuatro y más perceptores;Perceptora de ingresos;2025T4;5
Cuatro y más perceptores;Perceptora de ingresos;2025T3;3,2
Cuatro y más perceptores;Perceptora de ingresos;2025T2;1,6
Cuatro y más perceptores;Perceptora de ingresos;2025T1;0,9
Cuatro y más perceptores;Perceptora de ingresos;2024T4;0,8
Cuatro y más perceptores;Perceptora de ingresos;2024T3;2,3
Cuatro y más perceptores;Perceptora de ingresos;2024T2;1
Cuatro y más perceptores;Perceptora de ingresos;2024T1;3,3
Cuatro y más perceptores;Perceptora de ingresos;2023T4;4,9
Cuatro y más perceptores;Perceptora de ingresos;2023T3;2,3
Cuatro y más perceptores;Perceptora de ingresos;2023T2;0,3
Cuatro y más perceptores;Perceptora de ingresos;2023T1;0,7
Cuatro y más perceptores;Perceptora de ingresos;2022T4;..
Cuatro y más perceptores;Perceptora de ingresos;2022T3;1,5
Cuatro y más perceptores;Perceptora de ingresos;2022T2;0,7
Cuatro y más perceptores;Perceptora de ingresos;2022T1;1,8
Cuatro y más perceptores;Perceptora de ingresos;2021T4;1
Cuatro y más perceptores;Perceptora de ingresos;2021T3;..
Cuatro y más perceptores;Perceptora de ingresos;2021T2;1,4
Cuatro y más perceptores;Perceptora de ingresos;2021T1;0,8
Cuatro y más perceptores;Perceptora de ingresos;2020T4;3,3
Cuatro y más perceptores;Perceptora de ingresos;2020T3;1,9
Cuatro y más perceptores;Perceptora de ingresos;2020T2;2,5
Cuatro y más perceptores;Perceptora de ingresos;2020T1;0,8
Cuatro y más perceptores;Perceptora de ingresos;2019T4;2
Cuatro y más perceptores;Perceptora de ingresos;2019T3;3
Cuatro y más perceptores;Perceptora de ingresos;2019T2;1,8
Cuatro y más perceptores;Perceptora de ingresos;2019T1;2,5
Cuatro y más perceptores;Perceptora de ingresos;2018T4;2,1
Cuatro y más perceptores;Perceptora de ingresos;2018T3;2,8
Cuatro y más perceptores;Perceptora de ingresos;2018T2;2,3
Cuatro y más perceptores;Perceptora de ingresos;2018T1;1,6
Cuatro y más perceptores;Perceptora de ingresos;2017T4;1,4
Cuatro y más perceptores;Perceptora de ingresos;2017T3;1,6
Cuatro y más perceptores;Perceptora de ingresos;2017T2;0,8
Cuatro y más perceptores;Perceptora de ingresos;2017T1;1,5
Cuatro y más perceptores;Perceptora de ingresos;2016T4;1,8
Cuatro y más perceptores;Perceptora de ingresos;2016T3;1,7
Cuatro y más perceptores;Perceptora de ingresos;2016T2;0,6
Cuatro y más perceptores;Perceptora de ingresos;2016T1;1,8
Cuatro y más perceptores;Perceptora de ingresos;2015T4;3,1
Cuatro y más perceptores;Perceptora de ingresos;2015T3;2,2
Cuatro y más perceptores;Perceptora de ingresos;2015T2;1,8
Cuatro y más perceptores;Perceptora de ingresos;2015T1;4
Cuatro y más perceptores;Perceptora de ingresos;2014T4;1,2
Cuatro y más perceptores;Perceptora de ingresos;2014T3;1,3
Cuatro y más perceptores;Perceptora de ingresos;2014T2;1,7
Cuatro y más perceptores;Perceptora de ingresos;2014T1;0,4
Cuatro y más perceptores;Perceptora de ingresos;2013T4;1,4
Cuatro y más perceptores;Perceptora de ingresos;2013T3;2,4
Cuatro y más perceptores;Perceptora de ingresos;2013T2;4,3
Cuatro y más perceptores;Perceptora de ingresos;2013T1;2,2
Cuatro y más perceptores;Perceptora de ingresos;2012T4;2,3
Cuatro y más perceptores;Perceptora de ingresos;2012T3;3,6
Cuatro y más perceptores;Perceptora de ingresos;2012T2;3,4
Cuatro y más perceptores;Perceptora de ingresos;2012T1;2,8
Cuatro y más perceptores;Perceptora de ingresos;2011T4;2,1
Cuatro y más perceptores;Perceptora de ingresos;2011T3;5,9
Cuatro y más perceptores;Perceptora de ingresos;2011T2;4,5
Cuatro y más perceptores;Perceptora de ingresos;2011T1;3,3
Cuatro y más perceptores;Perceptora de ingresos;2010T4;4,8
Cuatro y más perceptores;Perceptora de ingresos;2010T3;4,5
Cuatro y más perceptores;Perceptora de ingresos;2010T2;3,6
Cuatro y más perceptores;Perceptora de ingresos;2010T1;6,9
Cuatro y más perceptores;Perceptora de ingresos;2009T4;3,1
Cuatro y más perceptores;Perceptora de ingresos;2009T3;3,5
Cuatro y más perceptores;Perceptora de ingresos;2009T2;4,3
Cuatro y más perceptores;Perceptora de ingresos;2009T1;2,9
Cuatro y más perceptores;Perceptora de ingresos;2008T4;5,9
Cuatro y más perceptores;Perceptora de ingresos;2008T3;3,7
Cuatro y más perceptores;Perceptora de ingresos;2008T2;3,7
Cuatro y más perceptores;Perceptora de ingresos;2008T1;1,9
Cuatro y más perceptores;Perceptora de ingresos;2007T4;2,4
Cuatro y más perceptores;Perceptora de ingresos;2007T3;0,7
Cuatro y más perceptores;Perceptora de ingresos;2007T2;0,8
Cuatro y más perceptores;Perceptora de ingresos;2007T1;2,4
Cuatro y más perceptores;Perceptora de ingresos;2006T4;1,5
Cuatro y más perceptores;Perceptora de ingresos;2006T3;1,9
Cuatro y más perceptores;Perceptora de ingresos;2006T2;3,9
Cuatro y más perceptores;Perceptora de ingresos;2006T1;0,3
Cuatro y más perceptores;Perceptora de ingresos;2005T4;2,8
Cuatro y más perceptores;Perceptora de ingresos;2005T3;1,9
Cuatro y más perceptores;Perceptora de ingresos;2005T2;3,8
Cuatro y más perceptores;Perceptora de ingresos;2005T1;3,4
Cuatro y más perceptores;Perceptora de ingresos;2004T4;2,9
Cuatro y más perceptores;Perceptora de ingresos;2004T3;1,6
Cuatro y más perceptores;Perceptora de ingresos;2004T2;2,8
Cuatro y más perceptores;Perceptora de ingresos;2004T1;2,7
Cuatro y más perceptores;Perceptora de ingresos;2003T4;2,1
Cuatro y más perceptores;Perceptora de ingresos;2003T3;2,4
Cuatro y más perceptores;Perceptora de ingresos;2003T2;2,2
Cuatro y más perceptores;Perceptora de ingresos;2003T1;1,6
Cuatro y más perceptores;Perceptora de ingresos;2002T4;3,7
Cuatro y más perceptores;Perceptora de ingresos;2002T3;3,1
Cuatro y más perceptores;Perceptora de ingresos;2002T2;3,6
Cuatro y más perceptores;Perceptora de ingresos;2002T1;3,4
Cuatro y más perceptores;No perceptora de ingresos;2025T4;6,1
Cuatro y más perceptores;No perceptora de ingresos;2025T3;5,2
Cuatro y más perceptores;No perceptora de ingresos;2025T2;6,8
Cuatro y más perceptores;No perceptora de ingresos;2025T1;5,7
Cuatro y más perceptores;No perceptora de ingresos;2024T4;..
Cuatro y más perceptores;No perceptora de ingresos;2024T3;0,3
Cuatro y más perceptores;No perceptora de ingresos;2024T2;5,4
Cuatro y más perceptores;No perceptora de ingresos;2024T1;0,3
Cuatro y más perceptores;No perceptora de ingresos;2023T4;7,6
Cuatro y más perceptores;No perceptora de ingresos;2023T3;3
Cuatro y más perceptores;No perceptora de ingresos;2023T2;4
Cuatro y más perceptores;No perceptora de ingresos;2023T1;3
Cuatro y más perceptores;No perceptora de ingresos;2022T4;3
Cuatro y más perceptores;No perceptora de ingresos;2022T3;5,7
Cuatro y más perceptores;No perceptora de ingresos;2022T2;6,8
Cuatro y más perceptores;No perceptora de ingresos;2022T1;2,2
Cuatro y más perceptores;No perceptora de ingresos;2021T4;1,4
Cuatro y más perceptores;No perceptora de ingresos;2021T3;9,9
Cuatro y más perceptores;No perceptora de ingresos;2021T2;2,2
Cuatro y más perceptores;No perceptora de ingresos;2021T1;2,7
Cuatro y más perceptores;No perceptora de ingresos;2020T4;0,9
Cuatro y más perceptores;No perceptora de ingresos;2020T3;1,2
Cuatro y más perceptores;No perceptora de ingresos;2020T2;2,8
Cuatro y más perceptores;No perceptora de ingresos;2020T1;2,1
Cuatro y más perceptores;No perceptora de ingresos;2019T4;1,2
Cuatro y más perceptores;No perceptora de ingresos;2019T3;2,4
Cuatro y más perceptores;No perceptora de ingresos;2019T2;1,7
Cuatro y más perceptores;No perceptora de ingresos;2019T1;1,2
Cuatro y más perceptores;No perceptora de ingresos;2018T4;4,6
Cuatro y más perceptores;No perceptora de ingresos;2018T3;3,9
Cuatro y más perceptores;No perceptora de ingresos;2018T2;2,1
Cuatro y más perceptores;No perceptora de ingresos;2018T1;1,8
Cuatro y más perceptores;No perceptora de ingresos;2017T4;2,9
Cuatro y más perceptores;No perceptora de ingresos;2017T3;0,6
Cuatro y más perceptores;No perceptora de ingresos;2017T2;2,6
Cuatro y más perceptores;No perceptora de ingresos;2017T1;2,8
Cuatro y más perceptores;No perceptora de ingresos;2016T4;3,5
Cuatro y más perceptores;No perceptora de ingresos;2016T3;5,8
Cuatro y más perceptores;No perceptora de ingresos;2016T2;4,2
Cuatro y más perceptores;No perceptora de ingresos;2016T1;2,8
Cuatro y más perceptores;No perceptora de ingresos;2015T4;3,4
Cuatro y más perceptores;No perceptora de ingresos;2015T3;1,7
Cuatro y más perceptores;No perceptora de ingresos;2015T2;2,4
Cuatro y más perceptores;No perceptora de ingresos;2015T1;2,1
Cuatro y más perceptores;No perceptora de ingresos;2014T4;2,2
Cuatro y más perceptores;No perceptora de ingresos;2014T3;1,9
Cuatro y más perceptores;No perceptora de ingresos;2014T2;1,8
Cuatro y más perceptores;No perceptora de ingresos;2014T1;2,7
Cuatro y más perceptores;No perceptora de ingresos;2013T4;2,5
Cuatro y más perceptores;No perceptora de ingresos;2013T3;2,6
Cuatro y más perceptores;No perceptora de ingresos;2013T2;5,1
Cuatro y más perceptores;No perceptora de ingresos;2013T1;2,2
Cuatro y más perceptores;No perceptora de ingresos;2012T4;4,1
Cuatro y más perceptores;No perceptora de ingresos;2012T3;3,4
Cuatro y más perceptores;No perceptora de ingresos;2012T2;4,4
Cuatro y más perceptores;No perceptora de ingresos;2012T1;7,8
Cuatro y más perceptores;No perceptora de ingresos;2011T4;5
Cuatro y más perceptores;No perceptora de ingresos;2011T3;4,3
Cuatro y más perceptores;No perceptora de ingresos;2011T2;3,6
Cuatro y más perceptores;No perceptora de ingresos;2011T1;3,2
Cuatro y más perceptores;No perceptora de ingresos;2010T4;6,6
Cuatro y más perceptores;No perceptora de ingresos;2010T3;6,8
Cuatro y más perceptores;No perceptora de ingresos;2010T2;5,2
Cuatro y más perceptores;No perceptora de ingresos;2010T1;3,8
Cuatro y más perceptores;No perceptora de ingresos;2009T4;1,6
Cuatro y más perceptores;No perceptora de ingresos;2009T3;4,5
Cuatro y más perceptores;No perceptora de ingresos;2009T2;4,6
Cuatro y más perceptores;No perceptora de ingresos;2009T1;3,9
Cuatro y más perceptores;No perceptora de ingresos;2008T4;2,5
Cuatro y más perceptores;No perceptora de ingresos;2008T3;2,4
Cuatro y más perceptores;No perceptora de ingresos;2008T2;6,3
Cuatro y más perceptores;No perceptora de ingresos;2008T1;6,8
Cuatro y más perceptores;No perceptora de ingresos;2007T4;4,6
Cuatro y más perceptores;No perceptora de ingresos;2007T3;2,8
Cuatro y más perceptores;No perceptora de ingresos;2007T2;3,9
Cuatro y más perceptores;No perceptora de ingresos;2007T1;6,7
Cuatro y más perceptores;No perceptora de ingresos;2006T4;2,8
Cuatro y más perceptores;No perceptora de ingresos;2006T3;2,9
Cuatro y más perceptores;No perceptora de ingresos;2006T2;3,9
Cuatro y más perceptores;No perceptora de ingresos;2006T1;2,5
Cuatro y más perceptores;No perceptora de ingresos;2005T4;2
Cuatro y más perceptores;No perceptora de ingresos;2005T3;2,5
Cuatro y más perceptores;No perceptora de ingresos;2005T2;1,2
Cuatro y más perceptores;No perceptora de ingresos;2005T1;4,5
Cuatro y más perceptores;No perceptora de ingresos;2004T4;4,7
Cuatro y más perceptores;No perceptora de ingresos;2004T3;2,1
Cuatro y más perceptores;No perceptora de ingresos;2004T2;2,3
Cuatro y más perceptores;No perceptora de ingresos;2004T1;2,8
Cuatro y más perceptores;No perceptora de ingresos;2003T4;2,2
Cuatro y más perceptores;No perceptora de ingresos;2003T3;1,5
Cuatro y más perceptores;No perceptora de ingresos;2003T2;2,8
Cuatro y más perceptores;No perceptora de ingresos;2003T1;2,5
Cuatro y más perceptores;No perceptora de ingresos;2002T4;3,7
Cuatro y más perceptores;No perceptora de ingresos;2002T3;2,4
Cuatro y más perceptores;No perceptora de ingresos;2002T2;2,9
Cuatro y más perceptores;No perceptora de ingresos;2002T1;1,4
